Feature,Decrease_in_Accuracy
roof_substrate_type_u,0.00854774774774774
parapet_height_m,0.007488288288288284
year_built_u,0.005888288288288276
roof_slope_u,0.004785585585585588
number_stories,0.0037405405405405317
retrofit_present_u,0.003171171171171192
roof_shape_u,0.002666666666666676
random_noise,0.00266666666666666
foundation_type_u,0.002147747747747748
occupany_u,0.002140540540540532
wall_thickness,0.0021189189189189197
structural_wall_system_u,0.001066666666666668
wall_fenestration_per_e,0.0005333333333333402
wall_length_front,0.0005261261261261201
mwfrs_u_roof,0.0
wall_length_side,-3.603603603602817e-05
construction_type_u,-0.000533333333333332
building_urban_setting,-0.000533333333333332
building_position_on_street,-0.0005477477477477399
wall_substrate_u,-0.00108108108108108
mwfrs_u_wall,-0.0016
roof_system_u,-0.0016072072072072041
wall_fenestration_per_n,-0.001607207207207208
overhang_length_u,-0.001614414414414412
wall_fenestration_per_s,-0.002111711711711712
roof_cover_u,-0.0021549549549549477
wall_fenestration_per_w,-0.003214414414414412
wall_cladding_u,-0.0032288288288288124
archetype,-0.00375495495495494
retrofit_type_u,-0.005362162162162152
buidling_height_m,-0.005873873873873868
building_area_m2,-0.0080144144144144
