Feature,Decrease_in_Accuracy
ef_numeric,0.17269909909909906
roof_substrate_type_u,0.008021621621621596
number_stories,0.003747747747747736
wall_length_side,0.003718918918918912
distance_km,0.0031999999999999963
wall_cladding_u,0.0026234234234234276
building_area_m2,0.001621621621621604
year_built_u,0.001599999999999992
wall_fenestration_per_s,0.001585585585585588
archetype,0.00108828828828828
roof_system_u,0.001066666666666668
buidling_height_m,1.4414414414403997e-05
building_urban_setting,0.0
construction_type_u,0.0
structural_wall_system_u,0.0
mwfrs_u_roof,0.0
roof_shape_u,-4.024558464266192e-18
retrofit_present_u,-0.000526126126126144
building_position_on_street,-0.000533333333333332
mwfrs_u_wall,-0.000533333333333336
overhang_length_u,-0.000540540540540548
wall_substrate_u,-0.001066666666666664
wall_fenestration_per_w,-0.00108108108108108
occupany_u,-0.001600000000000004
roof_slope_u,-0.0016072072072072041
parapet_height_m,-0.0016072072072072041
roof_cover_u,-0.001614414414414404
wall_thickness,-0.002133333333333336
foundation_type_u,-0.00214774774774774
wall_length_front,-0.0021621621621621522
retrofit_type_u,-0.003214414414414416
random_noise,-0.0037333333333333363
wall_fenestration_per_e,-0.003747747747747744
wall_fenestration_per_n,-0.00428828828828828
